Comments,video source,topic,bias of video,bias
4 people were recently killed by guns where I’m from. Legal gun owners who did the shooting? NO. it was MS13,6,GC,0,1
Did MED intend to make an argument against affirmative action?,5,AA,0,1
@Nanofuture87 yes but twist the words so that everyone can buy a gun when is only meant for the militia/ military,6,GC,0,0
Amen brother!!!,16,AL,2,2
"This is simple logic, if your a robber and you know that one town has an armed population with the training in it's use and another has legislation banning guns which would you rather hit?",11,GC,2,2
The govt should not tell us what to do with our body period!!! I'm suffering from vaxxers side effects bcos if that bs.,13,AL,0,2
Well done!!!,17,AL,2,2
"It’s just like... the real problem is unequal  education based on the way public education is funded. I think that should be fixed and then once a better base system is in placed we could move on from affirmative action policies.

As an African American raised in a high crime City on the east coast, my school system was just not good because of my neighborhood has lower revenue from tax payers...the school a few miles a way over a made up county boundary had a stronger tax base, so more funding , better teachers and resources and taught a better curriculum. It’s not fair to children, many are smart but just born to parents that live in a different (the wrong)  county. I feel like that’s a lot of peoples’ scenario. 

Personal perspective:
I luckily made it into college and through an engineering program to get my degree, but struggled constantly  and felt discouraged because my peers from other school districts had a stronger base of education. I had to try to excel in the curriculum while just trying to catch up to the base of knowledge. Many of the other black students were also from bad off school systems couldn’t be extra ordinary overcome this dynamic and either fail out or switch to less demanding majors that may not provide high paying careers.",3,AA,1,1
"Yet this slew of data, facts, and real life examples showing countless examples of guns being used defensively by law abiding citizens to prevent horrible crimes against innocent people seems to be ignored by half the population.",11,GC,2,2
"🇺🇸🇮🇱✍️ GREAT NEWS BABIES LIVES MATTER
OUR Heavenly Father GOD given APPROVAL.. 🇺🇸🇮🇱",15,AL,1,2
No one comes close debating an issue as Douglas,0,AA,2,2
Jennifer Carlson is a perfect example of an ‘academic’ today. You have to be unbelievably stupid and maleducated to believe that is the actual reason behind the second amendment. And then to cut to police shootings of black people to bolster this point ? This is called intellectual infantilism and/or religious fanaticism.,9,GC,1,2
"No it doesn't. It restates their constitutional rights, it doesn't expand rights at all. Incidentally, the supreme court are the final arbiters of the constitution, so any disagreement with their decision is by definition wrong.",8,GC,1,1
"Hopefully by next year SCOTUS will take up a Kahlifornya case specifically about DEI and shoot that big evil beast down as unconstitutional. The level of Marxist propaganda that’s made it’s way through our college campuses is out of control and must be stopped. EQUALITY is constitutional, and equity is definitely UNconstitutional.",2,AA,1,2
I believe in post birth abortions when it comes to Democrats.,17,AL,2,2
"I wouldn't worry about GOP if I were you,  all of those lying COUP jumpers are going to prison.
This is the year of the woman, we are going  to witness the awesome power that they possess.",13,AL,0,0
"This was extremely touching, God bless❤️",17,AL,2,2
"All parents need to take a knee during the national anthem. The radical right has declared war on civilization and taken aim at our children. There is no honor in this country. The freedom our soldiers fought for, life, liberty, and justice is over. It ended with the 1st school shooting being defended by the NRA and the radical right. When the NRA bought the republicans, we were no longer free. We no longer perserve the blessing of liberty, or establish justice or promote donestic tranquility. We have been taken over by rabble, rednecks and reprobates who promote the murder of innocent children.",7,GC,0,0
"Affirmative action is a difficult subject. It's easy to think it's a good idea if you are secure in your own job or education, but I can imagine you'd be very bitter about it if you got rejected from your dream college or job because you were a straight white male.",4,AA,0,1
"6:10 it bugs me.... Because Im black and thought I'd benefit. Then, I read the reports. Being a minority isn't enough. You need to be a twofer. Because if you can't check off minority and some other box, they aren't diverse. They want to show their 30% women, 20% minority, 40% sexually diverse or whatever, but mostly come from the same people. Might convert to female to hit the trifecta.",0,AA,2,1
"No, just because programs rub some people the wrong way does not mean that the programs should be abolished. There needs to be programs that help black people period? Not disproportionately black people but black people period..",3,AA,1,1
"Surely that’s a reason why it shouldn’t be purely about gender and race then.
Make it about income levels and family poverty.",4,AA,0,1
"""The FBI database is just about as outdated as its logo"" DAYUM STOP NOW ITS ALREADY DEAD",6,GC,0,0
God bless America!,11,GC,2,2
False I got background check at a gun show,6,GC,0,1
"You're not judging them by the content of their character, but by the color of their skin. 

''Affirmative Action'' is institutional racism trying to equalize outcomes, disregarding content of character.

Those doing this abomination owe a generation of Asians and Whites their rightful place that was robbed from them in the name of ''equity''.",2,AA,1,2
Where can I find Jesus’ gun?,9,GC,1,2
"The first thing that came to my mind with this documentary, ""RDR2""",9,GC,1,1
"@Generic snacks It is a sort of punishment when another employee who is less qualified or isn't as knowledgeable gets a raise while the other does not. It devalues earning your place through merit. Affirmative action does harm white people and Asian Americans because it devalues the education that they have received. Affirmative action doesn't even help African American or minority communities in the long run either because they will be under prepared for the collegiate level if K-12 education is lacking - which it is. It also does not help African Americans and minorities who do not go to college. They will never receive a decent education unless these systems are fixed. Affirmative action doesn't even attempt to help all minority populations. Just because affirmative action is an easier solution doesn't mean it is the right solution. It isn't. The right solution is fixing the the part of the system where the problem originates from - K-12 education. 

And it is possible to lift everybody up at the same time by making college admissions based on merit and socioeconomic need. If everyone is able to have access to the same K-12 opportunities, then it will be a level playing field. Affirmative action is a perfect example of promoting equality of outcome rather than equality of opportunity. I will admit, opportunity, especially for poorer African American communities isn't in a great place, but to fix it, change the education system in these communities instead.",4,AA,0,1
That makes a lot of sense what Judge Jeannie said,1,AA,2,2
"David, I am pro-choice and I agree with you. Most people don't know that abortions past 12 weeks is incredibly rare. less than 1%. The majority of abortions occur at the 6-9 week mark, and in fact although ROE protected abortion up until 24 weeks (viablilty), most doctors refuse to preform abortions after 12 weeks. I think the only thing that should be an exception past that mark is medical anomalies of the fetus or risk of health to the mother. 
I was reading about this woman who had a wanted pregnancy, but got a 3rd trimester (remember incredibly rare) abortion because her baby's brain was not developing.  the development of the brain happens in the 3rd trimester, they wouldn't have seen the abnormality earlier,  her baby would have been born without a brian, and died not long after birth.",13,AL,0,1
Isn’t getting into college based on merit and being assumed of a crime based on evidence? Why make the comparison between colleges and police?,5,AA,0,1
I think many Blacks discounted Hillary because of her deeds but didn't realize you have to vote for the lesser evils. I think Hillary would've balanced the court system.,5,AA,0,1
"Trashing Affirmative Action, vilifying its stated objectives misrepresents what it was attempting to address--blatant racism & discrimination in the hiring practices of industry & the admissions policies of colleges & universities. Affirmative Action in its implementation was never a quota system as the ill-informed would have us believe. It simply required that women & people of color be included as part of the pool being considered for hiring or admission. That was it, nothing more. Only under the most egregious policies would government step in to insist that a temporary quota system be implemented & only for a short time. I grew up in a low-income neighborhood with serious social ills (barrio) where some 87% of population were Latinos & about 12% Blacks & maybe 1% White. The most stable, lucrative jobs in my community tended to be in the public sector, i.e., teachers, police officers & fire men, janitors maintaining the housing authority or local primary schools. Almost all of these jobs were populated by White outsiders that had little connection to the residents. The skilled jobs were overwhelmingly White & the unskilled work that paid miserable wages were Latino. Cross the tracks, outside the barrio, homes were nicely kept & it was overtly obvious that the system was setup to privilege one group over the other. Anyone that lives in the rural areas of California where Fresno's Devin Nunez & Bakersfield's Kevin McCarthy live, quickly come to understand one's place in the political arena--Latinos are not to be heard or acknowledged in spite of their growing numbers. The tragedy that afflicts many young people that grow up in poverty is the fact that many of them are talented, intelligent, capable of competing if the system worked to include them. Whites do not have a monopoly on ability, no matter what some racists might think. & as some so correctly have stated on this board, it has been White women that have benefitted the most from Affirmative Action not poor people of color. I don't want the pity of White liberals or the hate of some White conservatives. Just give people a fighting chance, show the same love & attention that is given to privileged White kids to the less fortunate White, Black, Brown & Yellow kids that come from low-income households so they can also contribute positively to society.",3,AA,1,1
00:34 & your already wrong.,6,GC,0,2
"Because I stop you from killing small living things, being the sociopath that you are, you're going to get violent with me. Oh no no no no.",15,AL,1,1
"​@winterlinde5395 Did you know there is no such thing as gun violence. Another word salad, lingo buzz word created by the anti gun lobby for people who would commit violence regardless of what tool they used. Violence is violence.",9,GC,1,2
"RIDICULOUS...😡 

100+ years of white's only privilege ... Business, Property Ownership, Finance, Education, Healthcare, Legal, Incarceration, Representation, Accountability, etc... 🤬

US - Supreme Court ... INCOMPETENT AND SHAMELESS... 😈",5,AA,0,0
"If Harvard stopped racially discriminating their applicants, it wouldn't turn into a 100% white school like the video suggests at 9:00, it would have a huge number of Asian students. Vox why do you keep lying to people about facts which can be easily checked?",4,AA,0,2
"College admissions are not race neutral, it is biases specifically against black people.
This is about hurting the black community period.
The response from the black community in 2024 will reflect this fact.",2,AA,1,0
What an awesome heartfelt video. Thank you.,17,AL,2,2
Do you think murder should be unconditionally legal?,16,AL,2,2
"How is it possible that a financial journal , which does theoretical analysis , has somehow missed the definitive economic gains the colleges get from using policies like affirmative action to reduce the amount of spaces available to colleges , thereby increasing demand and price ? Streamlining their non AA candidate spaces to the exceptionally wealthy , connected  or gifted , resulting in the elitism we see so prevalent in our society . Its almost like we live in the medieval ages where only the nobles could afford to educate their children , only with a veil of decency that disguises the contempt .",2,AA,1,2
"They should allow a certain amount of races in for minorities. This whole country has been structured for  minorities to be less successful. Minorities put into poor neighbors, with underfunded schools, lack of jobs and grocery stores.",4,AA,0,0
"“Why are we talking aesthetics when we’re talking about the safety of our children?” Mr. Noir couldn’t have said it any better. 

It shouldn’t matter if you’re pro or anti 2nd amendment, the ONLY immediate solution is to arm schools with guards, period. We can protect our schools while debating the issue.",10,GC,2,2
But the constitution...,6,GC,0,2
"Its not about the gun, its about selling the gun.",9,GC,1,1
I hope so. We need to rid our roads of unsafe drivers. The police aren't doing it anymore.,9,GC,1,1
"Go judge, I agree.",1,AA,2,2
"I am happy you made it through this. I feel that same way. It is NOT up to the government to tell me what I can or cannot with my body. I own it! I feed it! I take care of it! They do not. So many of those people who are at the clinics are hypocrites. I can shout out a name who had multiple terminations. It is my mother, not my mommy. She and her 12th husband claim to be so righteously! Whenever I see he with him doing then crazy stuff I cringe. She gave up 4 kids never raised us. And she wants to save babies, when she couldn't take care of her own. She did back then coat hanger abortions. I am sorry if this is the wrong place to tell the story. Please do not hate on me for my beliefs. Everybody doing this all I say is be very cautious. make sure you don't get the wrong medications. there are crazy people in this world. Be safe. It is your choice!!!",13,AL,0,0
And these people vote Republicans at elections.... you  deserve all you get,7,GC,0,0
"@Misha0619 

It’s majority U.S. opinion….
Abortion is allowed up to a point and then it’s not allowed anymore….
People wish we had a middle ground, but don’t realize we already do!…",16,AL,2,1
"As a right-leaning centrist, I think this is more than fair compromise. Meet where we agree, don't mess with fundamental American freedoms, and ensure the innocent are protected. As long as a fair criteria for licensing is established and upheld without further restriction. That's the part we worry about on the right. Give an inch, they take a mile.",6,GC,0,1
"No system is perfect all of the time. There’s a warp and weft in every system. But at least in the Left Wing model the well-being of ordinary people is considered and attempts are made to furnish their needs. The Right seem happy with runaway elitism being the norm and give nothing to the masses who are wanting. Instead, they weaponise the disappointment of the less fortunate by guiding their rage towards the LGBT crowd or Muslims or whomever. Anyone apart from the very people that have taken everything from them; the rich.",0,AA,2,1
Asians don’t value education? What was this guy smoking?,4,AA,0,1
"Thats a lie, still have to go through a background check at a gunshow in California",6,GC,0,1
"Why don't we hear more of this from our so-called ""conservative"" allies in the news media?  Rush, Hannity, Levin, O'Reilly, Savage, Ingraham, Tucker - they all give 'lip service' to the pro-life movement.  But that is all.  Pathetic!",17,AL,2,2
"Crying democrats and media oppressors , in New York this has nothing to affect criminals they don't give a ass s*** if they prohibit or change any laws.
The intentions is help criminals to to make it easy harm law obeying citizens.",8,GC,1,2
"​@pA I don't understand what you're saying. Are you a Californian from Lower Californian (Mexican), are you a resident of this country living in California, are you an undocumented alien? Or are you saying that you are a US citizen who has no loyalty to our country and thinks California is not a state in the Union? I'm genuinely curious.

And what is it that you and your undisclosed compatriots are going to do?

In my comment that the mods apparently deleted, I stated that Americans recently witnessed a coup attempt by trump radicals which failed spectacularly. Is that what you're talking about? Do you want to overthrow the government of the United States?

Or are you referring to my suggestion that was not deleted, that you work to amend the Constitution legally?

I hope you're talking about the amending the Constitution. Then we could be people who very strongly disagree about an issue without also being enemies.",9,GC,1,1
@Zord 13 who would of thought that people who have no respect for normal laws like murder would have no problem breaking gun laws 😰,6,GC,0,2
"Oh and my comment proving Australia is way way safer than America with statistics has been deleted, someone didn't like me proving guns make a country have higher homicide %rate to population. Only an idiot would think a country full of guns is safe",11,GC,2,0
"@think harder. Did you watch the video?  The issue with speed is spur of the moment gun sales. If it takes a longer time you tend to weed out people who are in distress and provide an opportunity or family or friends to intervene. As a veteran, I’d like to see a reduction in veteran suicides which are usually more successful because veterans use firearms at a higher rate, but most localities have easier requirements for veteran gun purchases. Also highlighted was the fact the FBI database is woefully incomplete allowing for criminals to pass through the background check system. More time allows for more extensive review. 

Also getting a credit card is far easier than you make it out to be. Credit card companies are highly predatory as their profits are made on fees and interest.  They care little about your actual ability to repay your balance.",6,GC,0,0
"In my opinion, the police or the troops should come to call every American citizen at their home to see if they have guns there and then the police or the troops can take them away from them and then destroyed all the guns.  The Second Amendment should be repealed, because it is very irrelevant to America's deadly gun culture which will lead to an inexcusable reality.",6,GC,0,0
"In Ukraine, we just send our test results to the uni with numbers instead of names. Nobody cares about race, only your score matters. I assumed that it is not that hard to do as for the USA...",4,AA,0,2
"@Free Chair Fascism is a form of government, why is a policy such as this fascist???  Are you saying that only a dictator would come up with this policy, or that this policy only serves the state, not the people???  I'm at a loss.  What is 19 week ban a monarchy and 6 week ban socialist?",14,AL,1,1
We need to get these criminals off the streets. Only law enforcement must have guns. I do not want one. My weapons are my words and mouth. Get a pack of wolves what I would prefer.,11,GC,2,0
There are too many African Americans at the top who are communist,1,AA,2,2
I am alive & well because my mother went against the nurses telling her to abort me. She had the German measles when pregnant with me. She said no to aborting me (1965). My mama’s love & common sense saved my life. Thank you mom.💝,17,AL,2,2
"I wish someone would do a study on how many women have committed suicide after abortion. 
Guess that’s a hard thing to study though, because I bet we all know someone who has had an abortion who has never told a soul. 😢",17,AL,2,2
Show me a law that will prevent the next mass shooting and sign me up.,6,GC,0,2
"U see from this comment alone we see that every race has selfish ppl who only care for their race and does not try for a harmonious society. Yea ur ancestors had it bad. Keyword is ur ancestor. And no im not a right wing racist trying to erase the history of black slavery but an education system ought to be meritocratic and is an ""affirmative action"" is ever justified, it should only be used on income, education background together with academic merit and extra curriculum activity which shows what u can offer for society other than ur race",4,AA,0,1
"what is wrong in the head of this people, no wonder the US is always involved in wars",9,GC,1,0
Wonder testimony. Be prolife.,17,AL,2,2
"@DpsFrog Boi The fetus is alive, part of her body in the same way her ova are part of her reproductive system the contents of her reproductive organs are a work in progress. It is human like all parts and produce of her body but it's not yet a human.",16,AL,2,0
I cant believe it it those conservatives. Want to make colledges 70 percent white. You know like the fuking country is,4,AA,0,0
Did you have a nice Fourth of July or did abortion ruin it?,16,AL,2,0
"The problem with this is simple. The courts have already ruled you do not require licensing to practice a right. The moment you do, it makes it a privilege that can be taken away. The second amendment protects the citizen from the government doing this. That's why its written the way it is. That's why it says ""the right of the people"" not the ""privilege"" and ""shall not be infringed"" not ""unless (insert reason to take the right away). That in a nut shell is the reason all laws pertaining to the acquisition of and bearing of
 any weapon in the USA is an unconstitutional law, and is therefore illegal. 

Its an uncomfortable situation for some people, but that is the law in the United states. There is no in between. You can not require licensing for a right.",6,GC,0,2
"@Sean Matthew KingI think your misunderstanding me so let me make myself clear, Im a leftist black man so,trust me, Im WELLL aware of the issues that effects minorities such as myself. Theres a difference between acknowledging issues involving race, sex, LGBTQ+(which I do, of course) along with class and completely ignoring how class status plays a role in further perpetuating those issues as those with the most wealth/influence have the most power. Twitter “liberals” and corporate democrats use identity politics(e.g. praising Bidens “diverse” group of warmongers and corporate lobbyists)to make themselves feel good about themselves (hence me saying “virtue-signaling wokism”) while ignoring policy and shaming the left for calling them out on it.",3,AA,1,0
Does anyone have the direct line for the Supreme Court?  I want to ask if the border situation is on their schedule anytime soon…. Just saying,1,AA,2,2
"you heard it yourself VOX just said at the end, if you are of color you are to stupid to get into Harvard",4,AA,0,2
"Funny, but I go to gun shows and everyone who sells guns are Federal Firearms Licensees with hands full of 4473s and cell phones!",6,GC,0,2
"I have always been a staunch Berniecrat leftist on most issues, but Affirmative Action is racist against Asians and Whites. The best way to end racism is to be colorblind. It might have made sense in the past but Affirmative Action is passed it's time. And I don't appreciate being called a ""Conservative"" on this issue. I'm disappointed in you, Vox.",4,AA,0,1
"""Everyone can choose what to do with their body""
The body of the baby:
👁👄👁",16,AL,2,2
"I looked it up on Wikipedia and only 22 states and D.C. have some form of private sale background check laws, which leaves the rest of the states (28) open for this loophole to occur. The article is simply titled “Gun show loophole” on the site.",6,GC,0,1
It's funny because they're talking about assault rifles and ice cream and just for the record. They're not assault rifles they're just rifles.,10,GC,2,2
"1.00 it actually makes me want to cry because my friend is in the same situation as me except his college prospects are way better cause he's ""Native American"".",4,AA,0,1
If you support Affirmative Action then you must believe Blacks and Hispanics require a leg up to compete with Whites and Asians in a colorblind academic meritocracy. And if they require a leg up that means you believe them to be intellectually inferior. Now THAT is malignant Black self hatred.,5,AA,0,2
"I don't get it.  If a holistic review of a person is effective in assessing a candidate, why include race?   Holistic reviews give people a fairer chance than just basing on grades alone.   So leave skin color out of the mix.",2,AA,1,1
Rich that Saagar is whining. He’s not for any redistributive policies outside of the pandemic response.,3,AA,1,2
Oh my God. These poor children.,7,GC,0,0
"The slogan for the Choice side of the abortion issue, should be:  ""Every Child A Wanted Child.""",12,AL,0,0
"I am a gun owner, and for a long time I've been saying we need a licensing system. Other countries with MORE gun rights than we do have a license, and as a result they all have less gun violence. If you think we can't do it because ""guvment!"" then that means we need more government participation, not to give up on the concept of law entirely.",6,GC,0,1
Women are despicable demons 🫢,13,AL,0,2
equality is not diversity,4,AA,0,1
I’m beginning to think they should raise the age that you may buy a gun to 25.,7,GC,0,0
"@Bob The second Amendment isn’t the only thing in the constitution that limits power, it is just the final check and balance.  There are currently around 1.4 million military troops in the US Military.  If you do the math with your figures there are 98.4 million armed citizens in the US.  Now they aren’t a United Army buy any means (thank goodness).  However if a president that controls the military almost exclusively were to try and over throw our democracy, I imagine that would unify many of them fairly quickly.  That is the final check.  It helps to ensure that any President would at the vary least only have a burnt cinder to rule over if they managed to use the military to take total control of the government.  

As far as the dictators that I listed.  They all started out as elected presidents.  They all used there power to gain total control of the army.  They all at some point tried to disarm the majority of there population under the guise  of defending the government and protecting the people.  

Absolute power Corrupts Absolutely.  The want for power is the one thing that Democrats and Republicans have in common.  The only way us peasants survive is buy insuring neither party becomes so powerful as to completely overtake the other.  The final line of defense is to ensure that if one party or president were to gain so much power that they would begin to do away with many of the checks and balances our government has in place, against the will of large amounts of the citizens who are reasonably armed.  The hope is that the consequences would be so catastrophic as to prevent even an attempt.  For 244 years now that deterrent has worked with only one total civil war in the middle.  That ultimately is a pretty good record, comparatively.   

All the rights we enjoy as American Citizens come with consequences.  I wouldn’t be so eager to give them up if I was you.  The cost of buying them back is historically extremely costly, and I for one would prefer to never have to see my fellow citizens nor myself have to pay the price of buying them back.  

So why don’t we just keep are constitutional rights.  

Personally I think the best amendment are the ones that give more citizens rights, like the 13th the 15th and the 19th.  I know the 18th amendment didn’t go over very well and we got our rights back later under the 21st amendment, but that doesn’t seem to be the norm.  Usually when you loose a right it is gone for a long time and costly to get back.  Don’t wish them away so easily.🤗🇺🇸",6,GC,0,2
"What is wrong with Republicans forcing their views onto people’s lives?! State officials taking control of people’s private lives they deem undesirable. It’s political to them not personal. 

Did you know Extreme 19 Atty Generals from red states want your private medical  records! What will be next?! Taking away your Freedoms & Rights! A Breach of the HIPAA law. 

19 Republican AG from TN, KY,MO, AR,GA, MI, IN, MT,AK, SC, SD,  UT, NB, LA, TX,…want to follow women out of state who seek abortions or reproduction treatment and take your private medical records. What do they want with the records?! 

A man fake crying choking up about protecting the unborn that is not his. See how slick he was mixing Democrat with an older communist story. How low can you go. 

Republicans abandon those babies after birth. Who is paying to raise those babies? The man crying? There’s always two sides to why a woman or girl needs an abortion. 
Republicans  don’t care about protecting children or a woman’s life. 

This is a radical extreme Right gaslighting ppl,  shaming women about how women have no rights to their own bodies!

Let’s make it the 3rd date law. Republicans want Nationwide Abortion laws. 

They are No longer the party of limited government! 

The 19 Atty Generals wrote a letter to Biden demanding the right to seize medical records. Will they do it without permission? You bet. 

Shame on the hospitals & physicians handing medical records over to these radical Republicans. 

Republicans claim Democrats are doing this extreme Christian Nationalism vigilante, fear mongering when it’s Republicans. 

Protect women’s rights to their own bodies. They give birth not men. Don’t let men make decisions for you. Pro-choice!",17,AL,2,0
Every abortion is crime !!!!!,17,AL,2,2
Really? Exaggerate much? Abortion was illegal in Ireland and several European countries just a few years ago. Quit the histrionics.,15,AL,1,1
"The video fails to acknowledge the issues that come along with present affirmative action policies. It punishes middle class white people in particular because they are unable to acquire necessary scholarship or financial aid because of their race. Race should not even be looked at when it comes to things like this. Give out scholarship and financial aid based on financial need and merit. That's all that should matter. It isn't productive to limit admissions for white or Asian applicants, or to limit financial aid because of race. Why can two objectives not be met at the same time? Better African American and minority education while at the same time ensuring ALL people have adequate access to financial aid. I am not sure why it always has to be just one.",4,AA,0,1
The left is designing society. If you realize that then many other things they do are explained.,0,AA,2,2
“This is how we live now” Correction: This is how we *die* now.,7,GC,0,0
"0:32 ABSOLUTE MISINFORMATION! We can't make good informed gun laws if channels like Vox are running around spreading nonsense. Not to mention the NRA helping to make the absurd SBR and Short Barreled Shotgun distinctions that go both against the principles the NRA claims to have, and the constitution.",6,GC,0,1
Affirmative action would be unnecessary if we had affirmative action for everyone. Raise everyone's boat.,3,AA,1,1
It's only an argument for the upper and middle class. More like an excuse abd a poor one at that. I'm sure urban schools have no issues with their schools looking like a prison...lol,10,GC,2,2
